Date,precip_cm
1895-01-01,6.095000000000001
1895-02-01,4.149
1895-03-01,2.789
1895-04-01,1.3
1895-05-01,3.712
1895-06-01,2.038
1895-07-01,3.572
1895-08-01,2.764
1895-09-01,1.886
1895-10-01,2.289
1895-11-01,4.74
1895-12-01,2.65
1896-01-01,2.912
1896-02-01,2.259
1896-03-01,3.088
1896-04-01,2.0940000000000003
1896-05-01,2.096
1896-06-01,0.5589999999999999
1896-07-01,5.446
1896-08-01,3.157
1896-09-01,5.88
1896-10-01,2.389
1896-11-01,2.947
1896-12-01,1.6629999999999998
1897-01-01,3.957
1897-02-01,6.817
1897-03-01,6.17
1897-04-01,2.529
1897-05-01,3.011
1897-06-01,1.21
1897-07-01,2.894
1897-08-01,2.034
1897-09-01,5.797
1897-10-01,5.393
1897-11-01,2.043
1897-12-01,4.556
1898-01-01,3.025
1898-02-01,1.111
1898-03-01,2.684
1898-04-01,3.029
1898-05-01,6.766
1898-06-01,1.805
1898-07-01,3.118
1898-08-01,2.684
1898-09-01,0.8470000000000001
1898-10-01,1.56
1898-11-01,2.568
1898-12-01,2.409
1899-01-01,2.694
1899-02-01,4.697
1899-03-01,5.132
1899-04-01,1.767
1899-05-01,0.8960000000000001
1899-06-01,3.799
1899-07-01,3.483
1899-08-01,4.319
1899-09-01,0.93
1899-10-01,4.549
1899-11-01,1.861
1899-12-01,3.451
1900-01-01,1.156
1900-02-01,2.322
1900-03-01,0.944
1900-04-01,7.619
1900-05-01,1.376
1900-06-01,1.381
1900-07-01,0.6
1900-08-01,1.206
1900-09-01,4.088
1900-10-01,2.1100000000000003
1900-11-01,3.264
1900-12-01,0.617
1901-01-01,2.529
1901-02-01,3.751
1901-03-01,2.919
1901-04-01,3.111
1901-05-01,3.867
1901-06-01,1.539
1901-07-01,1.419
1901-08-01,4.8420000000000005
1901-09-01,0.613
1901-10-01,1.942
1901-11-01,0.912
1901-12-01,2.747
1902-01-01,1.7559999999999998
1902-02-01,2.09
1902-03-01,2.868
1902-04-01,2.178
1902-05-01,2.678
1902-06-01,1.119
1902-07-01,1.767
1902-08-01,2.553
1902-09-01,3.222
1902-10-01,1.077
1902-11-01,3.8
1902-12-01,3.4270000000000005
1903-01-01,2.602
1903-02-01,4.013
1903-03-01,4.157
1903-04-01,4.1450000000000005
1903-05-01,3.242
1903-06-01,3.232
1903-07-01,3.205
1903-08-01,1.441
1903-09-01,4.335
1903-10-01,1.907
1903-11-01,1.186
1903-12-01,0.861
1904-01-01,1.488
1904-02-01,3.268
1904-03-01,5.705
1904-04-01,1.866
1904-05-01,4.356
1904-06-01,2.254
1904-07-01,2.076
1904-08-01,4.546
1904-09-01,2.409
1904-10-01,2.766
1904-11-01,0.064
1904-12-01,2.173
1905-01-01,4.3340000000000005
1905-02-01,6.901999999999999
1905-03-01,6.196
1905-04-01,5.6
1905-05-01,4.763
1905-06-01,1.3039999999999998
1905-07-01,2.426
1905-08-01,2.102
1905-09-01,4.608
1905-10-01,1.686
1905-11-01,4.824
1905-12-01,1.322
1906-01-01,4.172
1906-02-01,1.693
1906-03-01,8.997
1906-04-01,7.039
1906-05-01,5.381
1906-06-01,0.72
1906-07-01,3.458
1906-08-01,4.067
1906-09-01,5.263
1906-10-01,2.65
1906-11-01,5.609
1906-12-01,4.579
1907-01-01,4.441
1907-02-01,3.372
1907-03-01,3.725
1907-04-01,3.4200000000000004
1907-05-01,4.816
1907-06-01,2.593
1907-07-01,2.85
1907-08-01,5.843999999999999
1907-09-01,2.365
1907-10-01,3.321
1907-11-01,1.171
1907-12-01,3.916
1908-01-01,2.51
1908-02-01,3.877
1908-03-01,2.682
1908-04-01,2.555
1908-05-01,4.2170000000000005
1908-06-01,1.955
1908-07-01,2.728
1908-08-01,5.247999999999999
1908-09-01,3.2299999999999995
1908-10-01,5.579
1908-11-01,2.163
1908-12-01,5.402
1909-01-01,6.926
1909-02-01,4.445
1909-03-01,2.228
1909-04-01,3.34
1909-05-01,1.838
1909-06-01,0.9
1909-07-01,4.089
1909-08-01,7.529999999999999
1909-09-01,4.637
1909-10-01,0.965
1909-11-01,4.511
1909-12-01,5.5600000000000005
1910-01-01,3.216
1910-02-01,2.732
1910-03-01,1.579
1910-04-01,1.685
1910-05-01,1.508
1910-06-01,1.329
1910-07-01,3.397
1910-08-01,2.855
1910-09-01,3.127
1910-10-01,4.24
1910-11-01,2.907
1910-12-01,3.303
1911-01-01,5.507
1911-02-01,5.102
1911-03-01,3.765
1911-04-01,2.6710000000000003
1911-05-01,0.996
1911-06-01,3.049
1911-07-01,5.946
1911-08-01,2.489
1911-09-01,5.647
1911-10-01,5.693
1911-11-01,2.5420000000000003
1911-12-01,1.748
1912-01-01,1.826
1912-02-01,2.159
1912-03-01,8.748000000000001
1912-04-01,3.09
1912-05-01,1.992
1912-06-01,2.83
1912-07-01,4.678
1912-08-01,3.468
1912-09-01,1.791
1912-10-01,5.814
1912-11-01,1.361
1912-12-01,1.535
1913-01-01,2.306
1913-02-01,4.233
1913-03-01,2.336
1913-04-01,1.467
1913-05-01,0.843
1913-06-01,3.63
1913-07-01,4.294
1913-08-01,2.42
1913-09-01,3.999
1913-10-01,2.889
1913-11-01,4.2490000000000006
1913-12-01,4.083
1914-01-01,7.029999999999999
1914-02-01,2.707
1914-03-01,1.78
1914-04-01,4.5520000000000005
1914-05-01,3.821
1914-06-01,3.269
1914-07-01,6.247
1914-08-01,3.882
1914-09-01,1.942
1914-10-01,5.779999999999999
1914-11-01,0.2259999999999999
1914-12-01,2.184
1915-01-01,3.264
1915-02-01,4.006
1915-03-01,1.557
1915-04-01,5.858
1915-05-01,4.546
1915-06-01,2.527
1915-07-01,2.722
1915-08-01,1.789
1915-09-01,5.171
1915-10-01,0.554
1915-11-01,3.651
1915-12-01,4.095000000000001
1916-01-01,8.915000000000001
1916-02-01,3.382
1916-03-01,4.593999999999999
1916-04-01,2.349
1916-05-01,1.799
1916-06-01,0.123
1916-07-01,4.647
1916-08-01,4.9590000000000005
1916-09-01,1.883
1916-10-01,8.947
1916-11-01,1.29
1916-12-01,3.646
1917-01-01,3.567
1917-02-01,2.688
1917-03-01,2.283
1917-04-01,5.815
1917-05-01,6.454000000000001
1917-06-01,0.583
1917-07-01,3.282
1917-08-01,2.323
1917-09-01,3.264
1917-10-01,0.8099999999999999
1917-11-01,1.019
1917-12-01,1.1789999999999998
1918-01-01,4.989
1918-02-01,3.354
1918-03-01,5.698
1918-04-01,2.697
1918-05-01,1.228
1918-06-01,2.558
1918-07-01,4.738
1918-08-01,2.398
1918-09-01,4.171
1918-10-01,3.5780000000000003
1918-11-01,2.731
1918-12-01,3.198
1919-01-01,0.414
1919-02-01,3.594
1919-03-01,3.092
1919-04-01,3.467
1919-05-01,2.447
1919-06-01,0.322
1919-07-01,4.485
1919-08-01,2.498
1919-09-01,3.636
1919-10-01,4.428
1919-11-01,5.51
1919-12-01,2.369
1920-01-01,2.335
1920-02-01,4.546
1920-03-01,4.846
1920-04-01,5.674
1920-05-01,3.897
1920-06-01,1.628
1920-07-01,1.691
1920-08-01,3.663
1920-09-01,2.589
1920-10-01,5.14
1920-11-01,2.415
1920-12-01,2.5170000000000003
1921-01-01,3.137
1921-02-01,2.097
1921-03-01,3.335
1921-04-01,4.505
1921-05-01,4.246
1921-06-01,3.393
1921-07-01,4.424
1921-08-01,6.898000000000001
1921-09-01,1.024
1921-10-01,2.535
1921-11-01,1.747
1921-12-01,5.942
1922-01-01,3.391
1922-02-01,4.305
1922-03-01,3.798
1922-04-01,3.5770000000000004
1922-05-01,2.606
1922-06-01,0.891
1922-07-01,2.419
1922-08-01,4.757
1922-09-01,1.074
1922-10-01,1.407
1922-11-01,4.393
1922-12-01,4.431
1923-01-01,2.901
1923-02-01,2.323
1923-03-01,3.844
1923-04-01,4.683
1923-05-01,2.835
1923-06-01,1.177
1923-07-01,4.679
1923-08-01,5.897
1923-09-01,4.5920000000000005
1923-10-01,3.765
1923-11-01,2.709
1923-12-01,3.258
1924-01-01,1.834
1924-02-01,1.026
1924-03-01,5.43
1924-04-01,2.352
1924-05-01,2.769
1924-06-01,0.264
1924-07-01,3.365
1924-08-01,1.513
1924-09-01,2.783
1924-10-01,4.125
1924-11-01,1.936
1924-12-01,5.13
1925-01-01,1.598
1925-02-01,2.356
1925-03-01,3.057
1925-04-01,2.05
1925-05-01,2.232
1925-06-01,4.075
1925-07-01,4.723
1925-08-01,5.926
1925-09-01,5.202
1925-10-01,5.491
1925-11-01,2.064
1925-12-01,1.94
1926-01-01,1.962
1926-02-01,2.526
1926-03-01,3.279
1926-04-01,6.128
1926-05-01,4.529999999999999
1926-06-01,1.246
1926-07-01,4.324
1926-08-01,3.093
1926-09-01,3.002
1926-10-01,2.158
1926-11-01,3.037
1926-12-01,4.125
1927-01-01,2.668
1927-02-01,6.6930000000000005
1927-03-01,4.699
1927-04-01,2.509
1927-05-01,1.447
1927-06-01,5.551
1927-07-01,3.779
1927-08-01,4.426
1927-09-01,9.247
1927-10-01,2.926
1927-11-01,3.756
1927-12-01,3.3340000000000005
1928-01-01,1.264
1928-02-01,2.446
1928-03-01,4.088
1928-04-01,1.757
1928-05-01,5.25
1928-06-01,1.891
1928-07-01,2.308
1928-08-01,2.965
1928-09-01,1.097
1928-10-01,6.577
1928-11-01,4.853
1928-12-01,2.099
1929-01-01,3.198
1929-02-01,3.221
1929-03-01,4.214
1929-04-01,4.0520000000000005
1929-05-01,2.973
