water_year,335:CO:SNTL,342:WY:SNTL,353:WY:SNTL,368:UT:SNTL,371:UT:SNTL,378:CO:SNTL,386:CO:SNTL,415:CO:SNTL,432:UT:SNTL,435:UT:SNTL,444:UT:SNTL,449:WY:SNTL,457:CO:SNTL,467:CO:SNTL,468:WY:SNTL,481:UT:SNTL,485:CO:SNTL,505:CO:SNTL,531:CO:SNTL,538:CO:SNTL,542:CO:SNTL,543:UT:SNTL,544:WY:SNTL,554:WY:SNTL,556:CO:SNTL,559:UT:SNTL,565:CO:SNTL,566:UT:SNTL,586:CO:SNTL,589:CO:SNTL,597:WY:SNTL,607:CO:SNTL,618:CO:SNTL,629:CO:SNTL,643:UT:SNTL,680:CO:SNTL,682:CO:SNTL,688:CO:SNTL,701:CO:SNTL,713:CO:SNTL,714:UT:SNTL,720:UT:SNTL,762:CO:SNTL,765:WY:SNTL,779:WY:SNTL,790:UT:SNTL,795:UT:SNTL,802:CO:SNTL,825:CO:SNTL,833:UT:SNTL,840:CO:SNTL,842:CO:SNTL,864:UT:SNTL,869:CO:SNTL
1981,297.17999999999995,203.2,350.52,403.86,279.4,307.34,99.05999999999999,200.66,38.099999999999994,241.29999999999998,210.82,254.0,358.14,294.64,213.35999999999999,454.6599999999999,261.62,220.97999999999996,208.27999999999997,284.47999999999996,276.86,231.14,,226.06,205.73999999999998,218.43999999999997,337.82,238.76,276.86,294.64,327.65999999999997,170.18,320.03999999999996,210.82,269.23999999999995,157.48,386.08,162.56,248.92000000000002,416.55999999999995,264.15999999999997,167.64,198.11999999999998,132.07999999999998,360.67999999999995,391.15999999999997,358.14,187.96,604.52,223.52,424.17999999999995,345.44,208.27999999999997,182.88
1982,482.59999999999997,464.82,1043.94,701.04,728.9799999999999,599.44,431.79999999999995,419.09999999999997,322.58,510.54,515.62,322.58,723.9,624.84,515.62,599.44,464.82,403.86,485.14,447.04,490.21999999999997,434.34000000000003,906.78,594.3599999999999,396.23999999999995,358.14,817.88,401.32,477.52,579.12,528.3199999999999,,515.62,408.94,386.08,332.73999999999995,1003.3,246.37999999999997,508.0,828.04,599.44,218.43999999999997,398.78,,909.3199999999998,548.64,662.94,,1356.36,347.97999999999996,807.72,693.42,464.82,266.7
1983,546.1,391.15999999999997,579.12,591.8199999999999,721.3599999999999,566.42,393.7,368.29999999999995,439.42,652.78,574.04,675.64,665.4799999999999,459.74,327.65999999999997,398.78,414.02,477.52,297.17999999999995,464.82,421.64,434.34000000000003,711.1999999999999,447.04,330.2,477.52,718.8199999999999,403.86,490.21999999999997,508.0,337.82,332.73999999999995,574.04,464.82,546.1,231.14,985.5199999999999,254.0,452.12,744.22,688.34,317.5,292.09999999999997,314.96,629.92,472.44,617.22,314.96,1130.3,472.44,1066.8,624.84,,287.02
1984,624.84,294.64,571.5,482.59999999999997,764.54,609.5999999999999,337.82,426.71999999999997,452.12,586.74,668.02,774.6999999999999,807.72,546.1,322.58,393.7,515.62,558.8,457.2,584.1999999999999,541.02,297.17999999999995,718.8199999999999,482.59999999999997,426.71999999999997,378.46,734.06,238.76,508.0,195.57999999999998,317.5,383.53999999999996,668.02,469.9,317.5,327.65999999999997,772.16,269.23999999999995,612.14,774.6999999999999,703.5799999999999,220.97999999999996,447.04,279.4,574.04,447.04,746.7599999999999,401.32,1277.62,287.02,889.0,718.8199999999999,497.84000000000003,297.17999999999995
1985,485.14,314.96,535.94,508.0,515.62,546.1,454.6599999999999,373.37999999999994,439.42,528.3199999999999,408.94,584.1999999999999,637.54,515.62,266.7,439.42,368.29999999999995,388.62,350.52,388.62,452.12,309.87999999999994,604.52,353.06,317.5,327.65999999999997,655.3199999999999,312.42,535.94,596.9,337.82,342.9,604.52,469.9,289.56,322.58,861.06,210.82,439.42,840.74,535.94,309.87999999999994,383.53999999999996,266.7,502.92,398.78,515.62,314.96,1163.32,304.79999999999995,1224.28,579.12,383.53999999999996,264.15999999999997
1986,510.54,,1132.84,662.94,566.42,660.4,266.7,335.28,246.37999999999997,624.84,391.15999999999997,655.3199999999999,612.14,571.5,469.9,591.8199999999999,436.87999999999994,515.62,408.94,292.09999999999997,419.09999999999997,485.14,1031.24,701.04,314.96,276.86,891.54,497.84000000000003,421.64,464.82,744.22,335.28,375.92,365.76,444.5,322.58,904.24,304.79999999999995,353.06,543.56,472.44,276.86,386.08,528.3199999999999,1084.58,485.14,584.1999999999999,297.17999999999995,1534.1599999999999,365.76,843.28,515.62,375.92,485.14
1987,414.02,299.72,434.34000000000003,441.9599999999999,314.96,403.86,464.82,276.86,127.0,220.97999999999996,261.62,401.32,360.67999999999995,337.82,266.7,375.92,370.84,304.79999999999995,434.34000000000003,431.79999999999995,401.32,218.43999999999997,497.84000000000003,236.22,246.37999999999997,228.6,485.14,322.58,391.15999999999997,553.72,330.2,231.14,360.67999999999995,431.79999999999995,195.57999999999998,271.78,797.56,137.16,421.64,795.02,264.15999999999997,177.79999999999998,472.44,223.52,434.34000000000003,403.86,299.72,200.66,883.9199999999998,264.15999999999997,911.8599999999999,403.86,254.0,218.43999999999997
1988,510.54,213.35999999999999,523.24,330.2,345.44,510.54,88.89999999999999,342.9,185.42,386.08,228.6,482.59999999999997,650.24,523.24,172.72,261.62,421.64,421.64,378.46,218.43999999999997,350.52,236.22,510.54,317.5,254.0,139.7,754.38,208.27999999999997,231.14,287.02,332.73999999999995,365.76,363.21999999999997,259.08,190.5,160.01999999999998,624.84,307.34,378.46,541.02,444.5,129.54,281.94,314.96,541.02,375.92,365.76,297.17999999999995,1211.58,187.96,553.72,520.6999999999999,327.65999999999997,332.73999999999995
1989,472.44,327.65999999999997,675.64,386.08,370.84,426.71999999999997,203.2,287.02,261.62,342.9,271.78,535.94,523.24,477.52,302.26,411.47999999999996,363.21999999999997,314.96,335.28,317.5,368.29999999999995,233.67999999999998,736.5999999999999,426.71999999999997,266.7,231.14,624.84,269.23999999999995,358.14,447.04,490.21999999999997,287.02,452.12,406.4,231.14,246.37999999999997,744.22,190.5,299.72,612.14,365.76,172.72,279.4,373.37999999999994,767.0799999999999,406.4,452.12,294.64,1181.1,261.62,947.4199999999998,439.42,269.23999999999995,332.73999999999995
1990,340.36,297.17999999999995,462.28,398.78,284.47999999999996,259.08,71.11999999999999,294.64,175.26,281.94,170.18,477.52,563.88,566.42,246.37999999999997,391.15999999999997,342.9,368.29999999999995,297.17999999999995,210.82,340.36,264.15999999999997,495.29999999999995,314.96,231.14,213.35999999999999,574.04,302.26,180.33999999999997,182.88,368.29999999999995,279.4,248.92000000000002,180.33999999999997,284.47999999999996,175.26,500.37999999999994,210.82,276.86,327.65999999999997,368.29999999999995,167.64,223.52,307.34,518.16,322.58,325.12,248.92000000000002,1163.32,330.2,424.17999999999995,424.17999999999995,281.94,287.02
1991,459.74,325.12,505.4599999999999,368.29999999999995,314.96,482.59999999999997,396.23999999999995,259.08,170.18,314.96,259.08,386.08,563.88,457.2,274.32,383.53999999999996,358.14,294.64,284.47999999999996,337.82,411.47999999999996,215.89999999999998,523.24,314.96,279.4,231.14,464.82,322.58,464.82,508.0,358.14,297.17999999999995,403.86,360.67999999999995,297.17999999999995,269.23999999999995,680.72,241.29999999999998,307.34,563.88,424.17999999999995,208.27999999999997,347.97999999999996,261.62,505.4599999999999,312.42,403.86,284.47999999999996,1056.6399999999999,256.53999999999996,828.04,513.0799999999999,254.0,327.65999999999997
1992,535.94,203.2,337.82,294.64,388.62,508.0,254.0,330.2,114.3,157.48,287.02,452.12,398.78,337.82,251.46,269.23999999999995,370.84,299.72,368.29999999999995,421.64,355.59999999999997,231.14,490.21999999999997,279.4,271.78,205.73999999999998,563.88,200.66,431.79999999999995,472.44,210.82,271.78,406.4,375.92,215.89999999999998,213.35999999999999,617.22,251.46,381.0,657.8599999999999,248.92000000000002,99.05999999999999,281.94,208.27999999999997,401.32,335.28,175.26,236.22,1005.84,195.57999999999998,845.8199999999999,530.8599999999999,236.22,241.29999999999998
