water_year,335:CO:SNTL,342:WY:SNTL,353:WY:SNTL,368:UT:SNTL,371:UT:SNTL,378:CO:SNTL,386:CO:SNTL,415:CO:SNTL,432:UT:SNTL,435:UT:SNTL,444:UT:SNTL,449:WY:SNTL,457:CO:SNTL,467:CO:SNTL,468:WY:SNTL,481:UT:SNTL,485:CO:SNTL,505:CO:SNTL,531:CO:SNTL,538:CO:SNTL,542:CO:SNTL,543:UT:SNTL,544:WY:SNTL,554:WY:SNTL,556:CO:SNTL,559:UT:SNTL,565:CO:SNTL,566:UT:SNTL,586:CO:SNTL,589:CO:SNTL,597:WY:SNTL,607:CO:SNTL,618:CO:SNTL,629:CO:SNTL,643:UT:SNTL,680:CO:SNTL,682:CO:SNTL,688:CO:SNTL,701:CO:SNTL,713:CO:SNTL,714:UT:SNTL,720:UT:SNTL,762:CO:SNTL,765:WY:SNTL,779:WY:SNTL,790:UT:SNTL,795:UT:SNTL,802:CO:SNTL,825:CO:SNTL,833:UT:SNTL,840:CO:SNTL,842:CO:SNTL,864:UT:SNTL,869:CO:SNTL
1981,350.52,241.29999999999998,365.76,424.17999999999995,297.17999999999995,353.06,114.3,236.22,68.58,281.94,238.76,294.64,416.55999999999995,325.12,226.06,474.97999999999996,365.76,248.92000000000002,218.43999999999997,284.47999999999996,320.03999999999996,238.76,426.71999999999997,228.6,236.22,226.06,378.46,259.08,297.17999999999995,335.28,347.97999999999996,172.72,363.21999999999997,231.14,284.47999999999996,167.64,454.6599999999999,167.64,259.08,454.6599999999999,304.79999999999995,187.96,220.97999999999996,144.78,360.67999999999995,434.34000000000003,375.92,213.35999999999999,817.88,228.6,452.12,398.78,228.6,195.57999999999998
1982,599.44,533.4,1173.48,792.4799999999999,764.54,617.22,434.34000000000003,452.12,363.21999999999997,541.02,566.42,464.82,782.3199999999999,690.88,553.72,762.0,574.04,558.8,535.94,452.12,528.3199999999999,434.34000000000003,960.1199999999999,675.64,419.09999999999997,368.29999999999995,924.56,452.12,528.3199999999999,586.74,599.44,208.27999999999997,523.24,408.94,391.15999999999997,360.67999999999995,1041.3999999999999,259.08,548.64,840.74,637.54,231.14,441.9599999999999,266.7,1000.7599999999999,629.92,711.1999999999999,223.52,1521.4599999999998,381.0,840.74,802.64,497.84000000000003,320.03999999999996
1983,828.04,533.4,749.3,815.34,812.8,693.42,469.9,495.29999999999995,502.92,703.5799999999999,655.3199999999999,787.4,746.7599999999999,523.24,452.12,528.3199999999999,629.92,673.0999999999999,368.29999999999995,541.02,485.14,535.94,1023.6199999999999,523.24,353.06,520.6999999999999,1000.7599999999999,604.52,624.84,528.3199999999999,365.76,370.84,612.14,533.4,769.62,254.0,1275.08,347.97999999999996,591.8199999999999,939.8,810.2599999999999,353.06,363.21999999999997,396.23999999999995,861.06,751.84,668.02,391.15999999999997,1623.06,586.74,1148.08,947.4199999999998,495.29999999999995,426.71999999999997
1984,848.3599999999999,294.64,713.74,561.34,830.58,767.0799999999999,363.21999999999997,523.24,452.12,629.92,716.28,960.1199999999999,944.88,680.72,378.46,523.24,739.14,734.06,586.74,652.78,678.18,314.96,812.8,571.5,508.0,408.94,995.6800000000001,360.67999999999995,591.8199999999999,444.5,426.71999999999997,421.64,708.66,604.52,408.94,347.97999999999996,1003.3,388.62,695.9599999999999,1130.3,858.5199999999999,246.37999999999997,548.64,312.42,706.12,629.92,815.34,541.02,1569.7199999999998,332.73999999999995,1005.84,993.14,528.3199999999999,426.71999999999997
1985,528.3199999999999,314.96,548.64,541.02,523.24,546.1,454.6599999999999,401.32,444.5,528.3199999999999,408.94,596.9,642.62,535.94,266.7,447.04,464.82,452.12,368.29999999999995,401.32,452.12,314.96,629.92,363.21999999999997,337.82,330.2,744.22,314.96,548.64,596.9,340.36,355.59999999999997,609.5999999999999,477.52,289.56,322.58,965.1999999999999,215.89999999999998,439.42,901.6999999999999,535.94,309.87999999999994,426.71999999999997,269.23999999999995,515.62,408.94,515.62,325.12,1391.9199999999998,314.96,1285.24,706.12,383.53999999999996,340.36
1986,629.92,612.14,1196.34,812.8,617.22,688.34,421.64,396.23999999999995,490.21999999999997,731.52,459.74,736.5999999999999,660.4,599.44,604.52,655.3199999999999,520.6999999999999,586.74,469.9,325.12,495.29999999999995,604.52,1125.2199999999998,782.3199999999999,330.2,360.67999999999995,1049.02,591.8199999999999,502.92,528.3199999999999,746.7599999999999,403.86,469.9,414.02,528.3199999999999,370.84,998.2199999999999,350.52,414.02,693.42,553.72,421.64,447.04,561.34,1264.9199999999998,726.4399999999999,665.4799999999999,317.5,1788.16,434.34000000000003,1059.18,647.6999999999999,502.92,594.3599999999999
1987,444.5,299.72,447.04,469.9,330.2,426.71999999999997,482.59999999999997,289.56,127.0,220.97999999999996,264.15999999999997,406.4,360.67999999999995,337.82,266.7,401.32,469.9,337.82,477.52,452.12,452.12,220.97999999999996,497.84000000000003,236.22,264.15999999999997,228.6,490.21999999999997,353.06,485.14,558.8,330.2,231.14,378.46,472.44,215.89999999999998,271.78,876.3,170.18,439.42,866.14,289.56,177.79999999999998,508.0,231.14,439.42,452.12,299.72,220.97999999999996,965.1999999999999,269.23999999999995,990.5999999999999,452.12,254.0,223.52
1988,574.04,213.35999999999999,553.72,365.76,363.21999999999997,523.24,185.42,347.97999999999996,198.11999999999998,386.08,246.37999999999997,502.92,655.3199999999999,528.3199999999999,180.33999999999997,261.62,472.44,426.71999999999997,378.46,236.22,350.52,236.22,520.6999999999999,325.12,259.08,144.78,789.9399999999999,208.27999999999997,271.78,355.59999999999997,332.73999999999995,368.29999999999995,365.76,289.56,190.5,175.26,723.9,309.87999999999994,383.53999999999996,579.12,444.5,208.27999999999997,284.47999999999996,327.65999999999997,553.72,469.9,393.7,307.34,1412.24,187.96,591.8199999999999,558.8,330.2,375.92
1989,546.1,335.28,731.52,414.02,424.17999999999995,472.44,444.5,360.67999999999995,322.58,424.17999999999995,302.26,541.02,561.34,502.92,314.96,441.9599999999999,490.21999999999997,365.76,408.94,396.23999999999995,421.64,246.37999999999997,792.4799999999999,459.74,302.26,269.23999999999995,703.5799999999999,281.94,378.46,508.0,508.0,345.44,452.12,434.34000000000003,238.76,289.56,756.92,215.89999999999998,332.73999999999995,624.84,436.87999999999994,195.57999999999998,309.87999999999994,403.86,835.66,436.87999999999994,477.52,340.36,1336.04,274.32,1036.32,541.02,284.47999999999996,383.53999999999996
1990,403.86,312.42,469.9,495.29999999999995,284.47999999999996,284.47999999999996,127.0,335.28,236.22,350.52,218.43999999999997,477.52,607.06,566.42,248.92000000000002,495.29999999999995,495.29999999999995,424.17999999999995,363.21999999999997,228.6,358.14,274.32,495.29999999999995,314.96,236.22,248.92000000000002,652.78,342.9,284.47999999999996,187.96,368.29999999999995,279.4,266.7,218.43999999999997,304.79999999999995,177.79999999999998,586.74,218.43999999999997,342.9,533.4,368.29999999999995,200.66,355.59999999999997,309.87999999999994,568.9599999999999,386.08,383.53999999999996,248.92000000000002,1257.3,332.73999999999995,604.52,505.4599999999999,327.65999999999997,322.58
