site_id,site_name,site_type,agency,state,latitude,longitude,first_date_data_available,last_date_data_available,record_count,site_query_url,date_metadata_last_updated,tz_cd,doi,huc8,conus1_x,conus1_y,conus2_x,conus2_y,usda_elevation,huc4
335:CO:SNTL,Berthoud Summit,SNOTEL station,NRCS,CO,39.80364,-105.77786,1978-10-01,2026-07-11,17451,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,14010001,1053,738,1481,1687,11314.0,1401
415:CO:SNTL,Copper Mountain,SNOTEL station,NRCS,CO,39.48917,-106.17154,1978-10-01,2026-07-11,17451,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,14010002,1016,707,1445,1657,10523.0,1401
485:CO:SNTL,Fremont Pass,SNOTEL station,NRCS,CO,39.38014,-106.19784,1980-07-28,2026-07-11,16785,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,14010002,1013,695,1441,1646,11326.0,1401
505:CO:SNTL,Grizzly Peak,SNOTEL station,NRCS,CO,39.64646,-105.8694,1980-08-11,2026-07-11,16771,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,14010002,1044,722,1472,1671,11139.0,1401
531:CO:SNTL,Hoosier Pass,SNOTEL station,NRCS,CO,39.36092,-106.05999,1980-07-31,2026-07-11,16782,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,14010002,1024,692,1453,1642,11611.0,1401
542:CO:SNTL,Independence Pass,SNOTEL station,NRCS,CO,39.07543,-106.61154,1980-10-01,2026-07-11,16720,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,14010004,973,666,1403,1617,10598.0,1401
556:CO:SNTL,Kiln,SNOTEL station,NRCS,CO,39.3172,-106.61501,1980-07-29,2026-07-11,16784,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,14010004,976,693,1406,1643,9624.0,1401
565:CO:SNTL,Lake Irene,SNOTEL station,NRCS,CO,40.41446,-105.81941,1979-10-01,2026-07-10,17085,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,14010001,1057,805,1485,1753,10682.0,1401
607:CO:SNTL,Lynx Pass,SNOTEL station,NRCS,CO,40.07832,-106.67095,1980-10-01,2026-07-11,16720,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,14010001,981,777,1411,1725,8919.0,1401
688:CO:SNTL,Phantom Valley,SNOTEL station,NRCS,CO,40.39803,-105.84606,1980-10-01,2026-07-11,16720,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,14010001,1055,804,1483,1751,9045.0,1401
