Date,temp_degC
1895-01-01,-6.47
1895-02-01,-6.58
1895-03-01,-0.62
1895-04-01,6.24
1895-05-01,10.55
1895-06-01,14.31
1895-07-01,17.82
1895-08-01,18.44
1895-09-01,13.62
1895-10-01,7.11
1895-11-01,-2.55
1895-12-01,-9.04
1896-01-01,-4.09
1896-02-01,-4.16
1896-03-01,0.14
1896-04-01,5.01
1896-05-01,10.16
1896-06-01,17.7
1896-07-01,19.27
1896-08-01,18.18
1896-09-01,13.16
1896-10-01,7.06
1896-11-01,-1.87
1896-12-01,-3.54
1897-01-01,-6.16
1897-02-01,-5.26
1897-03-01,-2.37
1897-04-01,5.39
1897-05-01,13.05
1897-06-01,15.83
1897-07-01,18.23
1897-08-01,18.17
1897-09-01,14.63
1897-10-01,7.04
1897-11-01,1.27
1897-12-01,-7.93
1898-01-01,-9.97
1898-02-01,-3.69
1898-03-01,-1.36
1898-04-01,7.18
1898-05-01,9.84
1898-06-01,16.49
1898-07-01,19.85
1898-08-01,19.6
1898-09-01,13.33
1898-10-01,5.86
1898-11-01,-0.93
1898-12-01,-9.03
1899-01-01,-6.3
1899-02-01,-5.77
1899-03-01,0.47
1899-04-01,6.25
1899-05-01,9.34
1899-06-01,15.53
1899-07-01,19.61
1899-08-01,16.73
1899-09-01,14.47
1899-10-01,5.93
1899-11-01,1.84
1899-12-01,-6.75
1900-01-01,-2.71
1900-02-01,-2.64
1900-03-01,3.5
1900-04-01,4.6
1900-05-01,11.87
1900-06-01,17.63
1900-07-01,19.6
1900-08-01,17.31
1900-09-01,12.05
1900-10-01,7.37
1900-11-01,1.36
1900-12-01,-3.76
1901-01-01,-4.99
1901-02-01,-2.62
1901-03-01,-0.1
1901-04-01,5.09
1901-05-01,12.47
1901-06-01,15.1
1901-07-01,21.07
1901-08-01,19.22
1901-09-01,13.0
1901-10-01,8.42
1901-11-01,2.06
1901-12-01,-3.97
1902-01-01,-4.59
1902-02-01,-1.55
1902-03-01,-1.2
1902-04-01,6.2
1902-05-01,11.06
1902-06-01,17.03
1902-07-01,17.63
1902-08-01,18.07
1902-09-01,13.17
1902-10-01,7.8
1902-11-01,0.21
1902-12-01,-5.8
1903-01-01,-5.95
1903-02-01,-10.2
1903-03-01,-0.64
1903-04-01,4.78
1903-05-01,9.3
1903-06-01,15.52
1903-07-01,18.37
1903-08-01,18.47
1903-09-01,12.01
1903-10-01,7.58
1903-11-01,0.88
1903-12-01,-5.12
1904-01-01,-6.93
1904-02-01,-0.78
1904-03-01,1.96
1904-04-01,6.52
1904-05-01,10.95
1904-06-01,14.86
1904-07-01,18.21
1904-08-01,17.89
1904-09-01,13.83
1904-10-01,7.06
1904-11-01,1.12
1904-12-01,-4.31
1905-01-01,-4.83
1905-02-01,-4.62
1905-03-01,2.76
1905-04-01,5.49
1905-05-01,9.0
1905-06-01,15.89
1905-07-01,18.51
1905-08-01,18.69
1905-09-01,13.84
1905-10-01,5.24
1905-11-01,0.94
1905-12-01,-7.61
1906-01-01,-6.05
1906-02-01,-1.85
1906-03-01,-0.4
1906-04-01,5.85
1906-05-01,10.46
1906-06-01,14.63
1906-07-01,18.44
1906-08-01,17.58
1906-09-01,12.92
1906-10-01,6.8
1906-11-01,0.06
1906-12-01,-1.82
1907-01-01,-3.31
1907-02-01,1.34
1907-03-01,3.3
1907-04-01,6.57
1907-05-01,8.54
1907-06-01,13.12
1907-07-01,18.82
1907-08-01,17.29
1907-09-01,13.21
1907-10-01,9.0
1907-11-01,0.1
1907-12-01,-3.8
1908-01-01,-5.84
1908-02-01,-4.18
1908-03-01,1.43
1908-04-01,6.39
1908-05-01,8.43
1908-06-01,13.69
1908-07-01,19.22
1908-08-01,17.22
1908-09-01,13.3
1908-10-01,4.74
1908-11-01,-0.91
1908-12-01,-6.29
1909-01-01,-2.91
1909-02-01,-4.29
1909-03-01,-0.65
1909-04-01,3.73
1909-05-01,8.87
1909-06-01,16.25
1909-07-01,19.77
1909-08-01,18.87
1909-09-01,13.24
1909-10-01,8.25
1909-11-01,1.05
1909-12-01,-10.53
1910-01-01,-6.78
1910-02-01,-5.36
1910-03-01,4.99
1910-04-01,7.59
1910-05-01,11.51
1910-06-01,17.08
1910-07-01,20.03
1910-08-01,18.39
1910-09-01,15.06
1910-10-01,7.57
1910-11-01,3.11
1910-12-01,-3.05
1911-01-01,-2.18
1911-02-01,-3.61
1911-03-01,2.76
1911-04-01,5.53
1911-05-01,10.87
1911-06-01,15.97
1911-07-01,18.01
1911-08-01,17.61
1911-09-01,14.17
1911-10-01,5.79
1911-11-01,-1.86
1911-12-01,-7.42
1912-01-01,-5.42
1912-02-01,-2.97
1912-03-01,-0.23
1912-04-01,3.36
1912-05-01,9.41
1912-06-01,15.07
1912-07-01,17.83
1912-08-01,17.29
1912-09-01,10.25
1912-10-01,5.81
1912-11-01,0.43
1912-12-01,-7.67
1913-01-01,-8.3
1913-02-01,-5.13
1913-03-01,-1.28
1913-04-01,5.92
1913-05-01,11.57
1913-06-01,15.5
1913-07-01,18.44
1913-08-01,18.91
1913-09-01,12.67
1913-10-01,5.75
1913-11-01,2.07
1913-12-01,-7.23
1914-01-01,-5.03
1914-02-01,-4.67
1914-03-01,1.1
1914-04-01,6.66
1914-05-01,11.73
1914-06-01,15.3
1914-07-01,18.64
1914-08-01,18.07
1914-09-01,14.14
1914-10-01,7.74
1914-11-01,1.8
1914-12-01,-7.34
1915-01-01,-7.85
1915-02-01,-3.21
1915-03-01,0.43
1915-04-01,7.91
1915-05-01,8.96
1915-06-01,13.99
1915-07-01,18.31
1915-08-01,17.86
1915-09-01,12.78
1915-10-01,7.99
1915-11-01,0.36
1915-12-01,-4.22
1916-01-01,-6.57
1916-02-01,-3.07
1916-03-01,2.38
1916-04-01,6.12
1916-05-01,9.14
1916-06-01,15.08
1916-07-01,18.82
1916-08-01,17.06
1916-09-01,12.73
1916-10-01,6.5
1916-11-01,-1.36
1916-12-01,-6.57
1917-01-01,-9.42
1917-02-01,-4.68
1917-03-01,-3.65
1917-04-01,3.26
1917-05-01,7.53
1917-06-01,14.87
1917-07-01,20.22
1917-08-01,17.43
1917-09-01,13.97
1917-10-01,7.46
1917-11-01,2.56
1917-12-01,-0.38
1918-01-01,-5.84
1918-02-01,-3.51
1918-03-01,2.81
1918-04-01,4.13
1918-05-01,9.88
1918-06-01,18.61
1918-07-01,18.66
1918-08-01,17.4
1918-09-01,13.79
1918-10-01,8.78
1918-11-01,-1.38
1918-12-01,-6.12
1919-01-01,-8.5
1919-02-01,-5.12
1919-03-01,-0.08
1919-04-01,6.42
1919-05-01,12.04
1919-06-01,16.73
1919-07-01,20.38
1919-08-01,18.9
1919-09-01,14.79
1919-10-01,4.51
1919-11-01,-0.74
1919-12-01,-7.14
1920-01-01,-5.48
1920-02-01,-1.97
1920-03-01,-0.68
1920-04-01,2.06
1920-05-01,10.9
1920-06-01,15.23
1920-07-01,19.34
1920-08-01,17.16
1920-09-01,12.85
1920-10-01,6.36
1920-11-01,-0.24
1920-12-01,-5.69
1921-01-01,-3.75
1921-02-01,-1.99
1921-03-01,2.99
1921-04-01,4.08
1921-05-01,10.76
1921-06-01,16.32
1921-07-01,19.34
1921-08-01,17.54
1921-09-01,13.46
1921-10-01,9.56
1921-11-01,2.04
1921-12-01,-1.57
1922-01-01,-8.28
1922-02-01,-4.98
1922-03-01,-1.26
1922-04-01,3.18
1922-05-01,10.33
1922-06-01,17.16
1922-07-01,19.44
1922-08-01,19.15
1922-09-01,14.95
1922-10-01,7.81
1922-11-01,-0.5
1922-12-01,-2.91
1923-01-01,-2.82
1923-02-01,-5.61
1923-03-01,-2.42
1923-04-01,4.61
1923-05-01,11.09
1923-06-01,14.92
1923-07-01,20.07
1923-08-01,17.28
1923-09-01,12.53
1923-10-01,5.38
1923-11-01,0.82
1923-12-01,-5.02
1924-01-01,-8.58
1924-02-01,-0.63
1924-03-01,-2.25
1924-04-01,4.59
1924-05-01,10.91
1924-06-01,16.54
1924-07-01,19.03
1924-08-01,17.95
1924-09-01,12.98
1924-10-01,6.86
1924-11-01,0.26
1924-12-01,-7.89
1925-01-01,-8.74
1925-02-01,-2.07
1925-03-01,1.99
1925-04-01,6.99
1925-05-01,12.81
1925-06-01,15.24
1925-07-01,19.88
1925-08-01,17.24
1925-09-01,13.29
1925-10-01,6.61
1925-11-01,-0.68
1925-12-01,-3.28
1926-01-01,-6.25
1926-02-01,-1.25
1926-03-01,1.2
1926-04-01,7.06
1926-05-01,11.19
1926-06-01,16.91
