month,precip_in,site_id,site_name,coverage_pct
1,4.148717948717948,713:CO:SNTL,Red Mountain Pass,100.0
2,4.246153846153846,713:CO:SNTL,Red Mountain Pass,100.0
3,4.5948717948717945,713:CO:SNTL,Red Mountain Pass,100.0
4,4.556410256410256,713:CO:SNTL,Red Mountain Pass,100.0
5,2.948717948717949,713:CO:SNTL,Red Mountain Pass,100.0
6,1.1282051282051282,713:CO:SNTL,Red Mountain Pass,100.0
7,2.7564102564102564,713:CO:SNTL,Red Mountain Pass,100.0
8,3.2948717948717947,713:CO:SNTL,Red Mountain Pass,100.0
9,3.051282051282051,713:CO:SNTL,Red Mountain Pass,100.0
10,3.523076923076923,713:CO:SNTL,Red Mountain Pass,100.0
11,4.271794871794872,713:CO:SNTL,Red Mountain Pass,100.0
12,4.143589743589743,713:CO:SNTL,Red Mountain Pass,100.0
