month,air_temp_F,site_id,site_name,coverage_pct
1,14.281309734513272,713:CO:SNTL,Red Mountain Pass,93.7
2,17.04048828125,713:CO:SNTL,Red Mountain Pass,93.7
3,22.682682060390764,713:CO:SNTL,Red Mountain Pass,93.7
4,28.337427007299272,713:CO:SNTL,Red Mountain Pass,93.7
5,35.51015789473684,713:CO:SNTL,Red Mountain Pass,93.7
6,44.741828153564896,713:CO:SNTL,Red Mountain Pass,93.7
7,48.41407537248028,713:CO:SNTL,Red Mountain Pass,93.7
8,46.24427320490368,713:CO:SNTL,Red Mountain Pass,93.7
9,39.918695652173916,713:CO:SNTL,Red Mountain Pass,93.7
10,31.435106382978724,713:CO:SNTL,Red Mountain Pass,93.7
11,19.915115207373272,713:CO:SNTL,Red Mountain Pass,93.7
12,14.247876651982374,713:CO:SNTL,Red Mountain Pass,93.7
